Male Electors,Male Voters,Female Electors,Female Voters,Total Electors,Total Voters
796779,685563,730494,652121,1527273,1337684
777345,664251,713064,626560,1490409,1290811
835803,691145,774686,675564,1610489,1366709
753840,646539,721272,611074,1475112,1257613
770363,647026,729310,613006,1499673,1260032
764758,627033,707175,577642,1471933,1204675
775893,645606,727919,590713,1503812,1236319
759317,667837,707604,604233,1466921,1272070
795545,683049,736699,637873,1532244,1320922
821377,700899,762121,630343,1583498,1331242
791896,633230,677788,509165,1469684,1142395
798384,681996,740045,622760,1538429,1304756
773457,670443,721651,605376,1495108,1275819
